SNWTool log Message
Time       Message
----------------------------------------------------------------------------------------------
21:11:44   GTICommand()
21:11:44   new (0,g28,a26)
21:11:53   ScanDeviceProc exit 2
21:11:53   deviceScanThread exit
21:11:53   ~GTICommand()
21:11:53   exit 0
21:12:29   GTICommand()
21:12:29   new (0,g28,a26)
21:12:33   ScanDeviceProc exit 2
21:12:33   deviceScanThread exit
21:12:33   ~GTICommand()
21:12:33   exit 0
21:12:34   GTICommand()
21:12:34   language:CN
21:12:34   new (0,g28,a26)
21:12:44   ++DlgModDestroyProc()
21:12:44   DlgModOpen():33
21:12:47   ScanDeviceProc exit 2
21:12:47   deviceScanThread exit
21:12:47   ~GTICommand()
21:12:47   exit 0
21:12:49   GTICommand()
21:12:49   language:CN
21:12:49   new (0,g28,a26)
21:12:51   ScanDeviceProc exit 2
21:12:51   deviceScanThread exit
21:12:51   ~GTICommand()
21:12:51   exit 0
