SNWTool log Message
Time       Message
----------------------------------------------------------------------------------------------
20:59:21   language:CN
20:59:28   ScanDeviceProc exit 2
20:59:28   deviceScanThread exit
20:59:28   exit 0
20:59:50   language:CN
20:59:55   ScanDeviceProc exit 2
20:59:55   deviceScanThread exit
20:59:55   exit 0
21:00:02   ScanDeviceProc exit 2
21:00:02   deviceScanThread exit
21:00:02   exit 0
21:00:19   ScanDeviceProc exit 2
21:00:19   deviceScanThread exit
21:00:19   exit 0
21:03:48   language:CN
21:03:50   ScanDeviceProc exit 2
21:03:50   deviceScanThread exit
21:03:50   exit 0
